Station ID,AQI index,Location,Station name,Url,Dominent pollutant,CO,Dew,Humidity,NO2,O3,Pressure,PM10,PM2.5,SO2,Temperature,Wind,Data Time S,Data Time Tz,Status,Alert level
13019,60,"21.01994,105.77056","Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,13,22,78,28,-,"1,010.00",45,60,-,26,3,4/27/2021 16:00,+07:00,#NAME?,#NAME?
13026,1,"21.01525,105.80013","Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,6,23,74,27,1,"1,015.00",1,1,1,28,4.6,4/12/2021 5:00,+07:00,#NAME?,#NAME?
1584,25,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,pm25,1,24.5,59,11,20,"1,004.00",21,25,25,33.5,4.3,5/21/2021 16:00,+07:00,#NAME?,#NAME?
1585,-,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,,2,24.5,64,5,14,"1,005.50",-,-,5,32,5.1,5/21/2021 15:00,+07:00,#NAME?,#NAME?
13017,41,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,17,22,78,18,-,"1,010.00",37,41,-,26,3,4/27/2021 16:00,+07:00,#NAME?,#NAME?
13020,32,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,3,22,78,7,-,"1,010.00",27,32,-,26,3,4/27/2021 16:00,+07:00,#NAME?,#NAME?
13013,74,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,12,22,78,19,-,"1,010.00",63,74,-,26,3,4/27/2021 16:00,+07:00,#NAME?,#NAME?
13014,18,"21.0072,105.83572","Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,5,22.5,83,-,-,"1,012.00",12,18,-,25.5,1.2,5/5/2021 14:00,+07:00,#NAME?,#NAME?
13252,97,"22.6782,106.245","Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm10,-,26,62.8,1,1,975.5,97,79,1,34.1,2,5/21/2021 16:00,+07:00,#NAME?,#NAME?
8767,57,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,25,91,-,-,"1,009.00",-,57,-,26.5,3.3,5/24/2021 9:00,+07:00,#NAME?,#NAME?
8688,57,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,25,94,-,-,"1,011.00",-,57,-,26,2.5,5/24/2021 9:00,+07:00,#NAME?,#NAME?
8641,78,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.1,25,88,6.9,16.3,"1,011.00",-,78,4.6,27,2.5,5/24/2021 10:00,+07:00,#NAME?,#NAME?
13012,27,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm10,3,22.3,84,10,18,922.8,27,22,13,25.2,1,5/24/2021 10:00,+07:00,#NAME?,#NAME?
12488,-,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,,10,26,66,-,-,"1,008.00",-,-,-,33,2,5/24/2021 10:00,+07:00,#NAME?,#NAME?
13251,1,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,12,19,73,50,1,"1,008.00",1,1,1,24,3.6,2/26/2021 15:00,+07:00,#NAME?,#NAME?
12976,95,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,5,25,94,8,10,"1,011.00",57,95,7,26,2.5,5/24/2021 9:00,+07:00,#NAME?,#NAME?
13250,27,"22.3221386,104.1214227","Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,pm25,45,25.4,81.9,2,2,999.5,26,27,52,28.8,2,5/24/2021 8:00,+07:00,#NAME?,#NAME?
5507,-,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,,-,24.7,71.6,-,7,993.2,99.5,-,-,30.4,2,4/29/2021 17:00,+07:00,#NAME?,#NAME?
11778,9,"21.0357507,106.7641068","Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm10,7,27.1,96,8,-,995.5,9,7,1,27.8,1,5/24/2021 8:00,+07:00,#NAME?,#NAME?
12958,38,"21.1232473,106.2883295","Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm10,2,25,94,2,17,"1,011.00",38,29,1,26,2.5,5/24/2021 9:00,+07:00,#NAME?,#NAME?
12957,43,"21.0272212,106.0342099","Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,pm25,7,25,88,2,-,"1,011.00",33,43,3,27,2.5,5/24/2021 10:00,+07:00,#NAME?,#NAME?
13015,91,"21.03982,105.84726","Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,29,22,74,37,-,"1,011.00",65,91,-,27,2.8,4/27/2021 15:00,+07:00,#NAME?,#NAME?
13018,36,"20.98832,105.854897","Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,4,22,78,6,-,"1,010.00",23,36,-,26,3,4/27/2021 16:00,+07:00,#NAME?,#NAME?
13019,60,"21.01994,105.77056","Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,13,22,78,28,-,"1,010.00",45,60,-,26,3,4/27/2021 16:00,+07:00,#NAME?,#NAME?
13026,1,"21.01525,105.80013","Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,6,23,74,27,1,"1,015.00",1,1,1,28,4.6,4/12/2021 5:00,+07:00,#NAME?,#NAME?
1584,49,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,pm25,6,24,59,10,23,"1,007.00",31,49,25,33,2,5/24/2021 10:00,+07:00,#NAME?,#NAME?
1585,-,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,,1,23,62,3,20,"1,009.00",-,-,5,31,2.8,5/24/2021 9:00,+07:00,#NAME?,#NAME?
13017,41,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,17,22,78,18,-,"1,010.00",37,41,-,26,3,4/27/2021 16:00,+07:00,#NAME?,#NAME?
13020,32,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,3,22,78,7,-,"1,010.00",27,32,-,26,3,4/27/2021 16:00,+07:00,#NAME?,#NAME?
13013,74,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,12,22,78,19,-,"1,010.00",63,74,-,26,3,4/27/2021 16:00,+07:00,#NAME?,#NAME?
13014,18,"21.0072,105.83572","Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,5,22.5,83,-,-,"1,012.00",12,18,-,25.5,1.2,5/5/2021 14:00,+07:00,#NAME?,#NAME?
13252,69,"22.6782,106.245","Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm10,-,23.4,91.4,1,1,984.6,69,56,1,24.9,1,5/24/2021 10:00,+07:00,#NAME?,#NAME?
8767,46,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,25,88,-,-,"1,009.50",-,46,-,27,3.6,5/26/2021 8:00,+07:00,#NAME?,#NAME?
8688,90,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,26,83,-,-,"1,009.00",-,90,-,29,2,5/26/2021 8:00,+07:00,#NAME?,#NAME?
8641,159,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.2,26,83,7.4,9.4,"1,009.00",-,159,5.1,29,2,5/26/2021 8:00,+07:00,#NAME?,#NAME?
13012,17,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,3,20.9,93.5,8,15,922.5,17,17,14,22,1,5/26/2021 8:00,+07:00,#NAME?,#NAME?
12488,-,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,,5,25,72,-,-,"1,008.00",-,-,-,30.5,1.5,5/26/2021 8:00,+07:00,#NAME?,#NAME?
13251,1,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,12,19,73,50,1,"1,008.00",1,1,1,24,3.6,2/26/2021 15:00,+07:00,#NAME?,#NAME?
12976,68,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,5,26,83,5,9,"1,009.00",46,68,8,29,2,5/26/2021 8:00,+07:00,#NAME?,#NAME?
13250,-,"22.3221386,104.1214227","Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,,40,24.5,86.2,3,3,996,1,27,56,27,2,5/26/2021 8:00,+07:00,#NAME?,#NAME?
5507,-,"20.9416,107.1158","Ha Long, Vietnam (Tp Hạ Long)",https://aqicn.org/city/vietnam/ha-long,,-,24.7,71.6,-,7,993.2,99.5,-,-,30.4,2,4/29/2021 17:00,+07:00,#NAME?,#NAME?
11778,3,"21.0357507,106.7641068","Quảng Ninh/UBND TP Uông Bí, Vietnam",https://aqicn.org/city/vietnam/quang-ninh/ubnd-tp-uong-bi,pm10,10,26.2,98.8,5,-,994.6,3,2,7,26.4,1,5/26/2021 7:00,+07:00,#NAME?,#NAME?
12958,66,"21.1232473,106.2883295","Bắc Ninh/Phong Cốc, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/phong-coc,pm25,4,26,83,19,10,"1,009.00",55,66,1,29,2,5/26/2021 9:00,+07:00,#NAME?,#NAME?
12957,79,"21.0272212,106.0342099","Bắc Ninh/Khu liên cơ Thuận Thành, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/khu-lien-co-thuan-thanh,pm25,5,26,83,4,-,"1,009.00",51,79,2,29,2,5/26/2021 9:00,+07:00,#NAME?,#NAME?
13015,91,"21.03982,105.84726","Hà Nội/Trụ sở Công an P .Hàng Mã, Vietnam",https://aqicn.org/city/vietnam/ha-noi/tru-so-cong-an-p-.hang-ma,pm25,29,22,74,37,-,"1,011.00",65,91,-,27,2.8,4/27/2021 15:00,+07:00,#NAME?,#NAME?
13018,36,"20.98832,105.854897","Hà Nội/UBND P .Hoàng Văn Thụ - Hoàng Mai, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p-.hoang-van-thu-hoang-mai,pm25,4,22,78,6,-,"1,010.00",23,36,-,26,3,4/27/2021 16:00,+07:00,#NAME?,#NAME?
13019,60,"21.01994,105.77056","Hà Nội/UBND P. Mỹ Đình I, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-my-dinh-i,pm25,13,22,78,28,-,"1,010.00",45,60,-,26,3,4/27/2021 16:00,+07:00,#NAME?,#NAME?
13026,1,"21.01525,105.80013","Hà Nội/Chi cục BVMT, Vietnam",https://aqicn.org/city/vietnam/ha-noi/chi-cuc-bvmt,pm25,6,23,74,27,1,"1,015.00",1,1,1,28,4.6,4/12/2021 5:00,+07:00,#NAME?,#NAME?
1584,43,"16.074,108.217","Da Nang, Vietnam (TP Đà Nẵng)",https://aqicn.org/city/vietnam/da-nang,pm25,7,23,55,11,17,"1,008.00",31,43,26,33,0.5,5/26/2021 9:00,+07:00,#NAME?,#NAME?
1585,-,"12.284358,109.192524","Nha Trang, Vietnam",https://aqicn.org/city/vietnam/nha-trang,,8,23,64,8,6,"1,009.00",-,-,5,30.5,0.7,5/26/2021 9:00,+07:00,#NAME?,#NAME?
13017,41,"21.02022,105.81232","Hà Nội/Tòa nhà quản lý Hồ Thành Công, Vietnam",https://aqicn.org/city/vietnam/ha-noi/toa-nha-quan-ly-ho-thanh-cong,pm25,17,22,78,18,-,"1,010.00",37,41,-,26,3,4/27/2021 16:00,+07:00,#NAME?,#NAME?
13020,32,"21.00577,105.74842","Hà Nội/UBND P.Tây Mỗ, Nam Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.tay-mo--nam-tu-liem,pm25,3,22,78,7,-,"1,010.00",27,32,-,26,3,4/27/2021 16:00,+07:00,#NAME?,#NAME?
13013,74,"21.05121,105.78232","Hà Nội/36A Phạm Văn Đồng, Vietnam",https://aqicn.org/city/vietnam/ha-noi/36a-pham-van-dong,pm25,12,22,78,19,-,"1,010.00",63,74,-,26,3,4/27/2021 16:00,+07:00,#NAME?,#NAME?
13014,18,"21.0072,105.83572","Hà Nội/Mầm non Kim Liên, Vietnam",https://aqicn.org/city/vietnam/ha-noi/mam-non-kim-lien,pm25,5,22.5,83,-,-,"1,012.00",12,18,-,25.5,1.2,5/5/2021 14:00,+07:00,#NAME?,#NAME?
13252,89,"22.6782,106.245","Cao Bằng/Trạm khí TTQT, Vietnam",http://cem.gov.vn/,pm10,-,23.4,91.4,1,1,980.5,89,88,1,24.9,2,5/26/2021 8:00,+07:00,#NAME?,#NAME?
8767,63,"10.782978,106.700711","Ho Chi Minh City US Consulate, Vietnam (Lãnh sự quán Hoa Kỳ, Hồ Chí Minh)",https://aqicn.org/city/vietnam/ho-chi-minh-city/us-consulate,pm25,-,25,79,-,-,"1,011.50",-,63,-,29,1.5,5/28/2021 8:00,+07:00,#NAME?,#NAME?
8688,72,"21.0811211,105.8180306","United Nations International School of Hanoi, Vietnam (Trường Quốc tế Liên Hợp Quốc Hà Nội)",https://aqicn.org/city/vietnam/hanoi/unis,aqi,-,27,88,-,-,"1,010.00",-,72,-,29,2,5/28/2021 7:00,+07:00,#NAME?,#NAME?
8641,97,"21.0215063,105.8188748","Hanoi US Embassy, Vietnam (Đại sứ quán Mỹ, Hà Nội)",https://aqicn.org/city/vietnam/hanoi/us-embassy,pm25,0.2,27,88,6.9,10.2,"1,010.00",-,97,5.1,29,2,5/28/2021 7:00,+07:00,#NAME?,#NAME?
13012,19,"13.998599,107.996482","Gia Lai/phường Thống Nhất - Pleiku, Vietnam",https://aqicn.org/city/vietnam/gia-lai/phuong-thong-nhat-pleiku,pm25,4,21.9,93.5,10,13,925.4,15,19,14,23,1,5/28/2021 7:00,+07:00,#NAME?,#NAME?
12488,-,"16.46226,107.596351","Thừa Thiên Huế/83 Hùng Vương, Vietnam",https://aqicn.org/city/vietnam/thua-thien-hue/83-hung-vuong,,5,26,83.5,-,-,"1,010.50",-,-,-,29,1.2,5/28/2021 7:00,+07:00,#NAME?,#NAME?
13251,1,"21.04975,105.74187","Hà Nội/UBND P. Minh Khai, Bắc Từ Liêm, Vietnam",https://aqicn.org/city/vietnam/ha-noi/ubnd-p.-minh-khai--bac-tu-liem,pm25,12,19,73,50,1,"1,008.00",1,1,1,24,3.6,2/26/2021 15:00,+07:00,#NAME?,#NAME?
12976,59,"21.1137452,105.9268934","Bắc Ninh/Châu Khê, Vietnam",https://aqicn.org/city/vietnam/bac-ninh/chau-khe,pm25,3,27,88,7,9,"1,010.00",43,59,8,29,2,5/28/2021 7:00,+07:00,#NAME?,#NAME?
13250,-,"22.3221386,104.1214227","Lào Cai/KCN TALOONG1, Vietnam",https://aqicn.org/city/vietnam/lao-cai/kcn-taloong1,,42,26.3,96,1,2,997.3,1,27,84,27,1,5/28/2021 7:00,+07:00,#NAME?,#NAME?
